Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-02-21,141,161,199,166,122,135,143,185,143,161
2020-02-20,144,159,222,165,147,144,145,194,150,168
2020-02-19,142,119,229,171,158,139,152,195,149,169
2020-02-18,141,110,213,160,149,132,134,186,139,159
2020-02-17,89,99,132,99,86,76,83,126,93,102
2020-02-16,36,55,30,62,4,27,9,65,56,44
2020-02-15,37,68,40,83,21,24,17,84,74,65
2020-02-14,116,148,171,162,126,99,114,186,131,147
2020-02-13,141,140,217,160,153,141,140,198,138,155
2020-02-12,146,154,223,167,153,118,143,209,144,167
2020-02-11,136,140,223,166,152,131,145,179,116,131
2020-02-10,134,120,180,133,159,125,134,126,98,97
2020-02-09,24,32,12,34,4,17,6,21,36,29
2020-02-08,41,54,18,50,16,30,16,29,60,47
2020-02-07,124,126,95,117,153,138,147,87,117,107
2020-02-06,125,131,100,126,147,155,137,94,125,113
2020-02-05,141,131,95,120,151,127,133,95,127,115
2020-02-04,137,119,91,115,136,139,133,91,119,109
2020-02-03,130,144,89,110,150,123,118,88,114,104
2020-02-02,23,29,11,25,7,11,8,18,33,30
2020-02-01,36,49,23,43,19,23,19,26,48,41
2020-01-31,124,99,83,110,149,138,116,82,110,100
2020-01-30,145,140,90,112,132,158,135,92,122,109
2020-01-29,140,130,98,124,153,172,161,97,130,115
2020-01-28,135,127,99,120,161,139,151,96,127,112
2020-01-27,132,114,80,116,152,175,137,91,118,107
2020-01-26,23,38,10,25,7,18,14,18,32,28
2020-01-25,31,55,23,35,17,20,19,25,49,37
2020-01-24,126,121,82,107,140,120,126,85,114,101
2020-01-23,117,83,75,108,130,172,115,87,113,101
2020-01-22,122,117,93,109,142,154,133,91,121,106
2020-01-21,129,119,94,113,148,180,120,95,123,110
2020-01-20,63,78,47,58,51,69,67,46,61,51
2020-01-19,22,40,13,26,11,14,13,17,33,29
2020-01-18,40,48,25,36,20,18,21,27,49,43
2020-01-17,127,130,85,104,119,132,143,93,120,110
2020-01-16,133,137,99,122,127,145,147,99,134,117
2020-01-15,130,129,85,125,156,145,156,101,133,119
2020-01-14,125,123,91,120,143,158,138,95,122,110
2020-01-13,130,114,92,110,139,165,140,94,124,110
2020-01-12,23,44,8,21,10,13,12,16,29,25
2020-01-11,27,52,17,26,21,23,22,22,39,33
2020-01-10,133,140,93,120,140,151,152,93,123,112
2020-01-09,133,110,99,117,158,169,150,100,131,122
2020-01-08,123,127,97,117,150,185,147,92,121,107
2020-01-07,142,121,84,107,133,155,140,90,118,105
2020-01-06,143,130,89,114,170,156,148,94,127,113
2020-01-05,23,29,10,22,14,27,17,19,36,30
2020-01-04,36,42,17,34,26,39,22,27,50,43
2020-01-03,105,127,77,95,111,121,119,80,108,97
2020-01-02,112,118,80,101,121,134,126,81,107,97
2020-01-01,18,50,19,30,17,25,22,26,41,35
2019-12-31,66,90,52,69,60,69,74,57,78,70
2019-12-30,81,94,67,79,100,100,102,67,89,84
