Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-02-04,123,111,131,70,92,122,120,122,96,104,98,79
2020-02-03,122,103,112,73,85,97,120,133,100,98,89,72
2020-02-02,46,59,34,39,89,39,26,28,69,35,29,36
2020-02-01,65,80,54,52,92,78,53,42,88,50,41,52
2020-01-31,115,103,125,77,93,119,128,131,109,99,95,82
2020-01-30,122,110,129,68,85,110,124,123,111,104,100,83
2020-01-29,123,123,135,73,98,106,110,115,95,109,103,87
2020-01-28,126,105,125,72,82,116,122,128,96,109,101,87
2020-01-27,123,105,113,71,84,119,111,118,94,102,96,80
2020-01-26,44,55,34,34,72,62,24,32,69,36,30,36
2020-01-25,62,80,63,49,85,85,61,43,102,54,46,56
2020-01-24,118,118,128,72,96,103,127,136,107,108,100,87
2020-01-23,110,104,124,63,81,95,118,127,98,105,96,75
2020-01-22,111,107,134,66,88,88,102,123,95,108,101,82
2020-01-21,115,100,121,71,87,112,114,118,109,107,103,81
2020-01-20,61,64,55,41,75,65,66,65,73,62,47,39
2020-01-19,39,62,34,30,63,52,24,27,62,38,32,35
2020-01-18,68,99,69,53,86,86,61,52,105,58,48,55
2020-01-17,114,104,116,69,100,104,118,122,93,111,96,79
2020-01-16,117,107,138,70,104,129,147,132,106,121,113,86
