Category,Airports & Transit Centers,Bars,Beauty & Wellness,Grocery,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index
2020-01-09,50,58,101,102,100,93,102,93
2020-01-08,200,121,108,99,91,86,94,87
2020-01-07,50,106,88,88,67,92,96,87
2020-01-06,100,115,108,97,92,98,102,112
2020-01-05,0,79,80,109,83,94,92,85
2020-01-04,0,103,101,108,107,110,102,124
2020-01-03,100,158,115,101,122,70,107,120
2020-01-02,150,121,117,115,116,79,102,100
2020-01-01,0,133,64,72,84,57,81,72
2019-12-31,100,91,93,117,82,93,98,90
2019-12-30,0,85,101,89,82,111,92,109
